timestamp,close,high,low,trade_count,open,volume,vwap
2020-07-27 00:00:00-04:00,48.02,48.05,46.44,429,46.94,34404,47.32
2020-07-28 00:00:00-04:00,48.96,49.19,47.44,412,47.71,38673,48.2
2020-07-29 00:00:00-04:00,49.58,49.58,48.51,398,49.21,23896,49.0
2020-07-30 00:00:00-04:00,49.52,49.67,48.36,538,48.68,40783,49.29
2020-07-31 00:00:00-04:00,49.31,49.33,48.44,534,49.28,54595,48.86
2020-08-03 00:00:00-04:00,48.73,48.99,48.36,544,48.95,42664,48.71
2020-08-04 00:00:00-04:00,50.73,51.41,50.12,1217,50.12,118830,50.91
2020-08-05 00:00:00-04:00,51.18,51.33,50.44,648,51.25,78623,51.03
2020-08-06 00:00:00-04:00,51.04,51.56,50.53,1028,50.94,101840,51.18
2020-08-07 00:00:00-04:00,51.45,51.61,50.84,370,50.97,27052,51.32
2020-08-10 00:00:00-04:00,51.29,51.93,51.28,411,51.73,30781,51.5
2020-08-11 00:00:00-04:00,51.49,52.42,51.43,604,51.99,44641,51.98
2020-08-12 00:00:00-04:00,51.77,52.06,51.34,126,52.05,6112,51.61
2020-08-13 00:00:00-04:00,50.49,51.86,50.35,352,51.42,28095,51.05
2020-08-14 00:00:00-04:00,50.1,50.78,50.02,255,50.37,17472,50.49
2020-08-17 00:00:00-04:00,50.9,51.0,50.02,568,50.07,46404,50.78
2020-08-18 00:00:00-04:00,50.57,50.86,50.16,243,50.86,16329,50.52
2020-08-19 00:00:00-04:00,49.3,50.51,49.22,286,50.39,29198,49.65
2020-08-20 00:00:00-04:00,50.12,50.56,49.2,344,49.2,31810,50.21
2020-08-21 00:00:00-04:00,50.18,50.34,49.58,404,50.26,33011,50.09
2020-08-24 00:00:00-04:00,51.22,51.24,49.68,546,50.07,74830,50.76
2020-08-25 00:00:00-04:00,51.37,51.6,50.84,373,51.56,29305,51.19
2020-08-26 00:00:00-04:00,50.65,51.14,50.33,369,50.94,32604,50.63
2020-08-27 00:00:00-04:00,51.35,51.46,51.01,297,51.03,35997,51.25
